年月日,平均気温(℃),最高気温(℃),最低気温(℃)
2025/1/1,5.9,12.1,1.9
2025/1/2,6.2,12.3,1.1
2025/1/3,6.4,11.0,3.5
2025/1/4,5.0,9.1,2.6
2025/1/5,4.6,10.0,0.1
2025/1/6,6.1,8.0,3.6
2025/1/7,5.4,9.3,1.9
2025/1/8,3.4,8.0,0.3
2025/1/9,2.7,8.0,-0.6
2025/1/10,1.1,4.7,-2.0
2025/1/11,3.6,7.2,1.0
2025/1/12,4.2,9.2,1.7
2025/1/13,4.5,9.8,0.7
2025/1/14,5.7,10.5,0.2
2025/1/15,5.6,9.4,2.5
2025/1/16,4.7,8.3,1.5
2025/1/17,4.5,8.0,2.4
2025/1/18,5.4,10.8,2.3
2025/1/19,7.5,14.7,1.8
2025/1/20,9.0,13.5,6.4
2025/1/21,8.0,12.9,4.2
2025/1/22,6.5,12.6,2.0
2025/1/23,7.6,14.0,2.7
2025/1/24,8.0,14.6,3.7
2025/1/25,6.1,10.3,3.3
2025/1/26,5.3,10.5,2.2
2025/1/27,6.0,9.7,1.9
2025/1/28,6.5,9.7,3.4
2025/1/29,5.0,9.3,2.3
2025/1/30,3.6,7.0,0.9
2025/1/31,4.8,8.8,1.5
2025/2/1,6.1,9.7,3.0
2025/2/2,7.6,11.0,4.9
2025/2/3,7.7,11.5,4.1
2025/2/4,2.9,7.1,-0.3
2025/2/5,0.4,5.3,-1.9
2025/2/6,1.2,6.2,-2.7
2025/2/7,1.3,6.2,-2.0
2025/2/8,-0.2,4.0,-3.4
2025/2/9,2.3,7.1,-1.5
2025/2/10,2.9,8.8,-1.8
2025/2/11,3.6,7.4,0.8
2025/2/12,3.4,6.1,-0.7
2025/2/13,5.1,7.5,2.0
2025/2/14,4.8,10.8,0.1
2025/2/15,7.2,14.1,0.3
2025/2/16,8.7,12.7,6.1
2025/2/17,5.4,10.6,1.7
2025/2/18,2.8,7.0,0.2
2025/2/19,2.1,5.7,0.4
2025/2/20,2.6,7.1,-0.8
2025/2/21,2.9,7.0,-0.2
2025/2/22,2.1,6.1,-0.2
2025/2/23,2.9,8.6,-0.5
2025/2/24,2.1,6.0,-0.2
2025/2/25,5.3,10.9,1.4
2025/2/26,7.7,13.2,4.1
